24047-02-18,ME-18-02-24047-205.doc,,
16505-02-18,ME-18-02-16505-658.doc,,
0630-02-18,ME-18-02-630-602.doc,,
52479-01-18,ME-18-01-52479-769.doc,,
22830-12-17,ME-17-12-22830-699.doc,,
55908-09-17,ME-17-09-55908-387.doc,,
49995-09-17,ME-17-09-49995-56.doc,,
38154-09-17,ME-17-09-38154-771.doc,,
13632-08-17,ME-17-08-13632-55.doc,,
66310-07-17,ME-17-07-66310-844.doc,,
45713-07-17,ME-17-07-45713-955.doc,,
55670-06-17,ME-17-06-55670-340.doc,,
17856-06-17,ME-17-06-17856-893.doc,,
0522-05-17,ME-17-05-522-895.doc,,
0395-05-17,ME-17-05-395-224.doc,,
16420-10-16,ME-16-10-16420-262.doc,,
13416-09-16,ME-16-09-13416-978.doc,,
11786-06-16,ME-16-06-11786-780.doc,,
3068-11-15,ME-15-11-3068-620.doc,,
40450-09-15,ME-15-09-40450-667.doc,,
12109-06-15,ME-15-06-12109-344.doc,,
36381-05-15,ME-15-05-36381-295.doc,,
6904-12-14,ME-14-12-6904-57.doc,,
18510-10-14,ME-14-10-18510-163.doc,,
3622-10-13,ME-13-10-3622-529.doc,,
44877-06-13,ME-13-06-44877-37.doc,,
35007-04-13,ME-13-04-35007-454.doc,,
1578-04-13,ME-13-04-1578-391.doc,,
39605-04-11,ME-11-04-39605-456.doc,,
,,,
,,,
,,,
12154-11-14,ME-14-11-12154-982,,
58511-01-20,ME-20-01-58511-779,,
41052-11-19,ME-19-11-41052-634,,
41762-12-20,ME-20-12-41762-388,,
7053-03-21,7053-03-21,,
49151-10-20,ME-20-10-49151-589,,
58524-11-19,ME-19-11-58524-567,,
,,,
,,,
,,,
54962-08-15,ME-15-08-54962-361,,
48506-10-17,ME-17-10-48506-537,,
,,,
48435-02-17,ME-17-02-48435-315,,
35106-03-18,ME-18-03-35106-980,,
45561-04-17,ME-17-04-45561-926,,
32889-12-17,ME-17-12-32889-55,,
32803-12-17,ME-17-12-32803-592,,
