acronym,id,full_id,all citation
"ת""פ",17520-03-14,"ת""פ 17520-03-14",
"ע""פ",6989/13,"ע""פ 6989/13",
"ע""פ",7955/06,"ע""פ 7955/06",
"ע""פ",2405/12,"ע""פ 2405/12",
"ע""פ",2978/18,"ע""פ 2978/18",
"ע""פ",5668/13,"ע""פ 5668/13",
"ת""פ",34413-09-17,"ת""פ 34413-09-17","ע""פ 512/13,ע""פ 1958/98,ע""פ 4154/16,ע""פ 27/17"
"ע""פ",4876/15,"ע""פ 4876/15",
"ת""פ",49160-11-15,"ת""פ 49160-11-15",
"ע""פ",9349/07,"ע""פ 9349/07",
"ת""פ",55775-06-17,"ת""פ 55775-06-17",
"ע""פ",6327/17,"ע""פ 6327/17",
"ת""פ",0522-05-17,"ת""פ 0522-05-17","ע""פ 319/11,ע""פ 5668/13,ע""פ 5080/15,ת""פ 30145-12-11,ע""פ 5833/07,ע""פ 5913/11,ע""פ 1397/16,ע""פ 8959/14,ע""פ 8066/15,ע""פ 7317/13,ע""פ 6210/10,ע""פ 2580/14,ע""פ 9373/10,ע""פ 2918/13,ע""פ 5814/14,ע""פ 3156/11,ע""פ 5646/15,ע""פ 5900/15,ע""פ 2251/11,ע""פ 4154/16,ע""פ 2368/11,ע""פ 1261/15,ת""פ 12695-05-17,ת""פ 633-05-17,ע""פ 4910/13,ע""פ 2405/12,ע""פ 4450/11,ע""פ 5195/11"
"ת""פ",19612-03-18,"ת""פ 19612-03-18",
"ע""פ",5220/09,"ע""פ 5220/09",
"ע""פ",1332/04,"ע""פ 1332/04",
"ע""פ",4450/11,"ע""פ 4450/11",
"ע""פ",5561/14,"ע""פ 5561/14",
"ע""פ",4526/04,"ע""פ 4526/04",
"ת""פ",613-04-17,"ת""פ 613-04-17","ע""פ 8706/15,ע""פ 7139/12,ע""פ 3210/06,ע""פ 4102/08,ע""פ 5220/09,ע""פ 761/07,ע""פ 318/11,ע""פ 10444/06,ע""פ 6914/10,ע""פ 4435/11,ע""פ 9373/10,ע""פ 1462/12,ע""פ 2251/11,ע""פ 4945/13,ע""פ 1505/14,ע""פ 7781/12,ע""פ 4450/11,ע""פ 4460/11,ע""פ 1323/13"
"ע""פ",2918/13,"ע""פ 2918/13",
"ע""פ",8641/12,"ע""פ 8641/12",
"ת""פ",54615-03-16,"ת""פ 54615-03-16",
"ע""פ",7887/12,"ע""פ 7887/12",
"ע""פ",2258/13,"ע""פ 2258/13",
"ת""פ",67703-11-16,"ת""פ 67703-11-16",
"ע""פ",523/13,"ע""פ 523/13",
"ע""פ",2251/11,"ע""פ 2251/11",
"ת""פ",6904-12-14,"ת""פ 6904-12-14",
"ע""פ",6294/05,"ע""פ 6294/05",
"ע""פ",2524/15,"ע""פ 2524/15",
"ע""פ",4609/98,"ע""פ 4609/98",
"ע""פ",2908/16,"ע""פ 2908/16",
"ע""פ",6204/13,"ע""פ 6204/13",
"ע""פ",5195/11,"ע""פ 5195/11",
"ע""פ",5860/14,"ע""פ 5860/14",
"ע""פ",536/17,"ע""פ 536/17",
"ע""פ",2390/17,"ע""פ 2390/17",
"ת""פ",45713-07-17,"ת""פ 45713-07-17","ת""פ 50340-12-12,ע""פ 5336/13,ע""פ 8133/15,ע""פ 5220/09,ע""פ 1397/16,ע""פ 761/07,ע""פ 7384/07,ע""פ 4677/15,ע""פ 4329/10,ע""פ 318/11,ע""פ 10444/06,ע""פ 611/17,ע""פ 4435/11,ע""פ 433/89,ע""פ 3361/08,ע""פ 1332/04,ע""פ 4154/16,ע""פ 2251/11,ע""פ 7955/06,ע""פ 4945/13,ע""פ 8416/09,ע""פ 135/17,ע""פ 4450/11,ע""פ 4460/11,ע""פ 1323/13,ע""פ 2398/14"
"ת""פ",3622-10-13,"ת""פ 3622-10-13",
"ע""פ",5643/14,"ע""פ 5643/14",
"ת""פ",7498-11-14,"ת""פ 7498-11-14",
"ת""פ",42291-02-16,"ת""פ 42291-02-16","ע""פ 5220/09,ע""פ 4945/13,ע""פ 5643/14,ע""פ 9702/16,ע""פ 8045/17,ע""פ 1397/16,ע""פ 6371/11,ע""פ 5004/17,ע""פ 785/15,ע""פ 2265/18,ע""פ 1764/14,ע""פ 1323/13,ע""פ 1332/04,ע""פ 2251/11"
"ת""פ",12109-06-15,"ת""פ 12109-06-15",
"ת""פ",41855-07-16,"ת""פ 41855-07-16","ע""פ 4135/16,ע""פ 4945/13,ע""פ 2892/13,ע""פ 761/07,ע""פ 5004/17,ע""פ 3156/11,ע""פ 6989/13,ע""פ 4329/10,ת""פ 24364-10-16"
"ע""פ",5779/14,"ע""פ 5779/14",
"ע""פ",3210/06,"ע""פ 3210/06",
"ע""פ",2038/04,"ע""פ 2038/04",
"ת""פ",9111-02-15,"ת""פ 9111-02-15",
"ע""פ",2957/10,"ע""פ 2957/10",
"ת""פ",1995-03-17,"ת""פ 1995-03-17","ע""פ 2251/11,ת""פ 31498-01-16,ע""פ 6074/93,ע""פ 1680/07,ת""פ 29984-08-16,ע""פ 7781/03,ע""פ 3511/17,ע""פ 895/09,ע""פ 7268/01,ע""פ 10414/03,ע""פ 6294/05,ע""פ 6327/17"
"ע""פ",8501/09,"ע""פ 8501/09",
"ת""פ",29984-08-16,"ת""פ 29984-08-16",
"ע""פ",4697/11,"ע""פ 4697/11",
"ע""פ",2377/15,"ע""פ 2377/15",
"ע""פ",4559/16,"ע""פ 4559/16",
"ע""פ",6347/17,"ע""פ 6347/17",
"ע""פ",953/15,"ע""פ 953/15",
"ת""פ",18510-10-14,"ת""פ 18510-10-14",
"ת""פ",35106-03-18,"ת""פ 35106-03-18","ע""פ 8045/17,ע""פ 2802/18,ע""פ 4154/16,ע""פ 536/17"
"ת""פ",17707-04-14,"ת""פ 17707-04-14",
"ע""פ",4053/08,"ע""פ 4053/08",
"ע""פ",3573/08,"ע""פ 3573/08",
"ת""פ",20051-12-17,"ת""פ 20051-12-17","ע""פ 8501/09,ע""פ 7139/13,ע""פ 7386/13,ע""פ 7398/17,ת""פ 37191-05-16,ת""פ 51207-09-12,ע""פ 8373/11,ע""פ 48/10,ע""פ 1830/16,ע""פ 3300/06,ע""פ 5220/09,ת""פ 40148-09-15,ע""פ 7005/14,ע""פ 7312/06,ע""פ 5065/16,ע""פ 2978/18,ע""פ 6753/09,ת""פ 18510-10-14,ע""פ 1951/14,ע""פ 1462/12,ע""פ 3156/11,ת""פ 265-07-11,ת""פ 54116-09-16,ע""פ 5627/16,ע""פ 1414/15,ע""פ 1323/13"
"ת""פ",40148-09-15,"ת""פ 40148-09-15",
"ע""פ",5354/12,"ע""פ 5354/12",
"ת""פ",49416-04-18,"ת""פ 49416-04-18","ע""פ 3047/17,ע""פ 4945/13,ע""פ 9702/16,ת""פ 55775-06-17,ע""פ 9373/10,ע""פ 2892/13,ע""פ 135/17,ע""פ 1323/13,ע""פ 8133/15"
"ע""פ",8188/09,"ע""פ 8188/09",
"ע""פ",1702/16,"ע""פ 1702/16",
"ע""פ",1680/07,"ע""פ 1680/07",
"ת""פ",22830-12-17,"ת""פ 22830-12-17","ע""פ 7386/13,ע""פ 3820/09,ע""פ 1282/07,ע""פ 1127/13,ע""פ 1323/13,ע""פ 8731/12,ע""פ 972/11,ע""פ 7124/06"
"ע""פ",1323/13,"ע""פ 1323/13",
"ע""פ",2040/17,"ע""פ 2040/17",
"ע""פ",433/89,"ע""פ 433/89",
"ע""פ",4135/16,"ע""פ 4135/16",
"ע""פ",4088/13,"ע""פ 4088/13",
"ת""פ",10690-02-10,"ת""פ 10690-02-10",
"ע""פ",4329/10,"ע""פ 4329/10",
"ת""פ",42697-05-18,"ת""פ 42697-05-18","ע""פ 5220/09,ע""פ 4945/13,ע""פ 1903/13,ע""פ 9702/16,ע""פ 2398/14,ע""פ 9373/10,ע""פ 6371/11,ע""פ 2918/13,ע""פ 5681/14,ע""פ 135/17,ע""פ 1323/13,ע""פ 2422/14,ע""פ 8846/15,ע""פ 2251/11"
"ע""פ",7139/13,"ע""פ 7139/13",
"ע""פ",6339/12,"ע""פ 6339/12",
"ת""פ",36381-05-15,"ת""פ 36381-05-15",
"ע""פ",4572/13,"ע""פ 4572/13",
"ע""פ",7386/13,"ע""פ 7386/13",
"ע""פ",3927/16,"ע""פ 3927/16",
"ת""פ",45561-04-17,"ת""פ 45561-04-17","ע""פ 3450/16,ע""פ 5634/16,ע""פ 6928/17,ע""פ 401/16,ע""פ 5794/15,ע""פ 4910/13,ע""פ 3511/17,ע""פ 2460/15,ע""פ 6204/13,ע""פ 3981/14,ע""פ 3657/16,ע""פ 8469/99,ע""פ 3183/16"
"ע""פ",2718/05,"ע""פ 2718/05",
"ת""פ",45441-11-15,"ת""פ 45441-11-15",
"ע""פ",8450/16,"ע""פ 8450/16",
"ת""פ",37191-05-16,"ת""פ 37191-05-16",
"ע""פ",5323/12,"ע""פ 5323/12",
"ע""פ",8899/06,"ע""פ 8899/06",
"ע""פ",8959/14,"ע""פ 8959/14",
"ת""פ",47161-08-17,"ת""פ 47161-08-17","ע""פ 5220/09,ע""פ 27/17,ע""פ 8416/09,ע""פ 761/07,ע""פ 3361/08,ע""פ 1323/13,ע""פ 1332/04,ע""פ 4154/16"
"ע""פ",772/13,"ע""פ 772/13",
"ע""פ",4375/02,"ע""פ 4375/02",
"ת""פ",633-05-17,"ת""פ 633-05-17",
"ע""פ",4945/13,"ע""פ 4945/13",
"ע""פ",761/07,"ע""פ 761/07",
"ע""פ",4314/04,"ע""פ 4314/04",
"ע""פ",1768/14,"ע""פ 1768/14",
"ע""פ",6842/14,"ע""פ 6842/14",
"ע""פ",5549/09,"ע""פ 5549/09",
"ת""פ",33009-05-16,"ת""פ 33009-05-16","ע""פ 2040/17,ע""פ 5779/14,ע""פ 3511/17,ע""פ 4910/13,ע""פ 2406/16,ע""פ 1567/14,ע""פ 7603/10,ע""פ 3078/13,ע""פ 9158/16,ע""פ 6080/16"
"ע""פ",1456/07,"ע""פ 1456/07",
"ע""פ",6210/10,"ע""פ 6210/10",
"ע""פ",3820/09,"ע""פ 3820/09",
"ת""פ",65-12-09,"ת""פ 65-12-09",
"ע""פ",3491/13,"ע""פ 3491/13",
"ע""פ",6080/16,"ע""פ 6080/16",
"ע""פ",9821/16,"ע""פ 9821/16",
"ע""פ",8731/12,"ע""פ 8731/12",
"ת""פ",34027-04-18,"ת""פ 34027-04-18","ע""פ 2186/13,ע""פ 319/11,ע""פ 8280/15,ע""פ 3336/18,ת""פ 67703-11-16,ת""פ 34003-04-18,ת""פ 19384-05-16,ע""פ 1397/16,ע""פ 6053/13,ע""פ 761/07,ע""פ 6989/13,ת""פ 1094-05-15,ע""פ 2422/14,ע""פ 7317/13,ע""פ 116/13,ע""פ 1768/14,ע""פ 8045/17,ע""פ 785/15,ע""פ 3156/11,ע""פ 2251/11,ע""פ 4945/13,ת""פ 3244-06-16,ת""פ 45441-11-15,ע""פ 5681/14,ע""פ 1323/13"
"ע""פ",5634/16,"ע""פ 5634/16",
"ע""פ",4215/18,"ע""פ 4215/18",
"ע""פ",9543/09,"ע""פ 9543/09",
"ע""פ",4956/13,"ע""פ 4956/13",
"ת""פ",12695-05-17,"ת""פ 12695-05-17",
"ע""פ",4812/12,"ע""פ 4812/12",
"ע""פ",5646/15,"ע""פ 5646/15",
"ת""פ",8338-12-13,"ת""פ 8338-12-13",
"ע""פ",1121/11,"ע""פ 1121/11",
"ת""פ",45747-05-17,"ת""פ 45747-05-17","ע""פ 1261/15,ע""פ 772/13,ע""פ 4572/13,ע""פ 588/13,ע""פ 1803/07,ע""פ 8959/14,ע""פ 6339/12,ע""פ 4125/14,ע""פ 5900/15,ע""פ 1286/13,ע""פ 5617/13,ע""פ 3877/16"
"ע""פ",6914/10,"ע""פ 6914/10",
"ע""פ",5004/17,"ע""פ 5004/17",
"ע""פ",7384/07,"ע""פ 7384/07",
"ת""פ",30875-04-17,"ת""פ 30875-04-17","ע""פ 4559/16,ע""פ 9349/07,ע""פ 6467/12,ע""פ 2892/13,ע""פ 4053/08,ע""פ 3300/06,ע""פ 2398/14,ע""פ 8133/15"
"ע""פ",4466/11,"ע""פ 4466/11",
"ע""פ",3015/09,"ע""פ 3015/09",
"ע""פ",512/13,"ע""פ 512/13",
"ע""פ",7781/12,"ע""פ 7781/12",
"ע""פ",3361/08,"ע""פ 3361/08",
"ע""פ",785/15,"ע""פ 785/15",
"ת""פ",23340-04-18,"ת""פ 23340-04-18",
"ע""פ",6373/11,"ע""פ 6373/11",
"ע""פ",3429/14,"ע""פ 3429/14",
"ע""פ",10414/03,"ע""פ 10414/03",
"ע""פ",7124/06,"ע""פ 7124/06",
"ת""פ",54116-09-16,"ת""פ 54116-09-16",
"ע""פ",7552/14,"ע""פ 7552/14",
"ע""פ",7398/17,"ע""פ 7398/17",
"ת""פ",21139-04-17,"ת""פ 21139-04-17","ע""פ 2251/11,ע""פ 5234/11,ע""פ 5833/07,ת""פ 40107-01-18,ע""פ 319/11,ת""פ 40107-01-16,ע""פ 3663/11,ע""פ 6371/11,ע""פ 318/11,ע""פ 2038/04,ע""פ 4450/11,ת""פ 19612-03-18,ע""פ 103/88,ע""פ 1323/13,ע""פ 1332/04,ת""פ 23340-04-18,ת""פ 65-12-09"
"ע""פ",2580/14,"ע""פ 2580/14",
"ע""פ",2718/04,"ע""פ 2718/04",
"ע""פ",7768/15,"ע""פ 7768/15",
"ת""פ",3742-07-18,"ת""פ 3742-07-18","ע""פ 8188/09,ע""פ 4945/13,ע""פ 9702/16,ע""פ 523/13,ת""פ 8338-12-13,ע""פ 4065/18,ע""פ 2398/14,ע""פ 6327/17"
"ע""פ",5023/18,"ע""פ 5023/18",
"ע""פ",7139/12,"ע""פ 7139/12",
"ת""פ",26417-03-17,"ת""פ 26417-03-17","ת""פ 12109-06-15,ע""פ 1127/13,ע""פ 4910/13,ע""פ 9373/10,ע""פ 761/07,ע""פ 5120/11,ע""פ 4329/10,ע""פ 4702/15,ע""פ 8846/15"
"ת""פ",59422-07-14,"ת""פ 59422-07-14",
"ע""פ",7516/12,"ע""פ 7516/12",
"ע""פ",1846/13,"ע""פ 1846/13",
"ע""פ",4654/13,"ע""פ 4654/13",
"ת""פ",50556-08-17,"ת""פ 50556-08-17","ע""פ 5643/14,ע""פ 4812/12,ת""פ 13918-08-13,ע""פ 3907/10,ע""פ 6294/10,ע""פ 4760/14,ע""פ 5604/11,ת""פ 53725-09-14,ע""פ 2422/14,ע""פ 2420/15,ע""פ 6671/06,ע""פ 7516/12,ת""פ 55434-08-16,ע""פ 6001/13,ע""פ 1332/04,ע""פ 1702/16,ע""פ 2368/11,ע""פ 4945/13,ע""פ 4910/16,ע""פ 2908/16,ע""פ 4910/13,ע""פ 135/17,ע""פ 1825/12,ע""פ 4460/11,ע""פ 4125/14,ע""פ 6640/16,ע""פ 5561/14,ע""פ 3877/16"
"ע""פ",6371/11,"ע""פ 6371/11",
"ת""פ",49772-11-16,"ת""פ 49772-11-16","ע""פ 4559/16,ע""פ 4945/13,ע""פ 5203/10,ע""פ 1505/14,ע""פ 1323/13,ת""פ 49160-11-15,ע""פ 2718/05,ע""פ 3300/06"
"ע""פ",7312/06,"ע""פ 7312/06",
"ע""פ",401/16,"ע""פ 401/16",
"ת""פ",520-07-17,"ת""פ 520-07-17","ע""פ 4945/13,ע""פ 3820/09,ע""פ 9702/16,ע""פ 1282/07,ע""פ 4088/13,ע""פ 649/15,ע""פ 135/17,ע""פ 1323/13,ע""פ 2648/92,ע""פ 3300/06"
"ע""פ",2243/17,"ע""פ 2243/17",
"ע""פ",8706/15,"ע""פ 8706/15",
"ע""פ",7603/10,"ע""פ 7603/10",
"ע""פ",262/14,"ע""פ 262/14",
"ע""פ",1186/15,"ע""פ 1186/15",
"ע""פ",103/88,"ע""פ 103/88",
"ע""פ",3511/17,"ע""פ 3511/17",
"ע""פ",5617/13,"ע""פ 5617/13",
"ע""פ",8066/15,"ע""פ 8066/15",
"ע""פ",1951/14,"ע""פ 1951/14",
"ת""פ",31661-09-17,"ת""פ 31661-09-17",
"ע""פ",5814/14,"ע""פ 5814/14",
"ע""פ",2398/14,"ע""פ 2398/14",
"ע""פ",2006/12,"ע""פ 2006/12",
"ע""פ",780/16,"ע""פ 780/16",
"ת""פ",34688-10-15,"ת""פ 34688-10-15",
"ע""פ",4795/11,"ע""פ 4795/11",
"ע""פ",5203/10,"ע""פ 5203/10",
"ע""פ",1000/15,"ע""פ 1000/15",
"ת""פ",0630-02-18,"ת""פ 0630-02-18","ע""פ 7502/12,ע""פ 5023/18,ע""פ 4215/18"
"ע""פ",3120/04,"ע""פ 3120/04",
"ת""פ",11786-06-16,"ת""פ 11786-06-16","ע""פ 4466/11,ת""פ 3128-10-14,ע""פ 9543/09,ע""פ 761/07,ע""פ 4595/13,ע""פ 1232/13"
"ע""פ",4460/11,"ע""פ 4460/11",
"ת""פ",41855-07-16,"ת""פ 41855-07-16",
"ע""פ",4677/15,"ע""פ 4677/15",
"ע""פ",6560/15,"ע""פ 6560/15",
"ע""פ",4311/12,"ע""פ 4311/12",
"ת""פ",32803-12-17,"ת""פ 32803-12-17","ע""פ 4609/98,ע""פ 1958/98"
"ע""פ",135/17,"ע""פ 135/17",
"ת""פ",32659-05-18,"ת""פ 32659-05-18","ת""פ 54432-02-17,ע""פ 4945/13,ע""פ 9702/16,ת""פ 28615-08-17,ת""פ 41855-07-16,ע""פ 1462/12,ע""פ 7139/12,ע""פ 105/14,ת""פ 31034-06-17,ע""פ 1332/04,ע""פ 2251/11"
"ע""פ",1286/13,"ע""פ 1286/13",
"ת""פ",63324-09-17,"ת""פ 63324-09-17",
"ת""פ",633-05-17,"ת""פ 633-05-17","ע""פ 5220/09,ע""פ 5913/11,ע""פ 3288/14,ת""פ 36381-05-15,ע""פ 9373/10,ע""פ 2405/12,ע""פ 5955/08,ע""פ 761/07,ע""פ 251/11,ע""פ 135/17,ת""פ 54615-03-16,ת""פ 12695-05-17,ע""פ 3877/16,ת""פ 17707-04-14"
"ע""פ",7124/16,"ע""פ 7124/16",
"ת""פ",36093-03-14,"ת""פ 36093-03-14",
"ת""פ",52219-06-17,"ת""פ 52219-06-17","ע""פ 9702/16,ע""פ 3846/10,ע""פ 9373/10,ע""פ 6371/11,ע""פ 2892/13,ת""פ 19735-08-09,ע""פ 5323/12,ע""פ 1323/13,ע""פ 1332/04"
"ת""פ",19735-08-09,"ת""פ 19735-08-09",
"ע""פ",3289/05,"ע""פ 3289/05",
"ע""פ",48/10,"ע""פ 48/10",
"ת""פ",51038-02-17,"ת""פ 51038-02-17","ע""פ 8547/15,ע""פ 2377/15,ע""פ 9702/16,ת""פ 7622-01-18,ע""פ 2375/15,ע""פ 7768/15,ע""פ 5004/17,ע""פ 135/17,ע""פ 2243/17,ת""פ 3622-10-13"
"ע""פ",5627/16,"ע""פ 5627/16",
"ע""פ",251/11,"ע""פ 251/11",
"ע""פ",1830/16,"ע""פ 1830/16",
"ת""פ",24364-10-16,"ת""פ 24364-10-16",
"ע""פ",32/14,"ע""פ 32/14",
"ע""פ",4102/08,"ע""פ 4102/08",
"ע""פ",6583/06,"ע""פ 6583/06",
"ע""פ",2057/12,"ע""פ 2057/12",
"ע""פ",4472/16,"ע""פ 4472/16",
"ע""פ",262/06,"ע""פ 262/06",
"ע""פ",1825/12,"ע""פ 1825/12",
"ע""פ",9112/11,"ע""פ 9112/11",
"ת""פ",19384-05-16,"ת""פ 19384-05-16",
"ת""פ",53725-09-14,"ת""פ 53725-09-14",
"ע""פ",6101/16,"ע""פ 6101/16",
"ע""פ",3078/13,"ע""פ 3078/13",
"ע""פ",3663/11,"ע""פ 3663/11",
"ע""פ",3183/16,"ע""פ 3183/16",
"ע""פ",1261/15,"ע""פ 1261/15",
"ע""פ",768/13,"ע""פ 768/13",
"ע""פ",5913/11,"ע""פ 5913/11",
"ע""פ",4910/13,"ע""פ 4910/13",
"ע""פ",5336/13,"ע""פ 5336/13",
"ע""פ",1082/14,"ע""פ 1082/14",
"ע""פ",7502/12,"ע""פ 7502/12",
"ע""פ",7005/14,"ע""פ 7005/14",
"ע""פ",458/14,"ע""פ 458/14",
"ע""פ",5380/06,"ע""פ 5380/06",
"ע""פ",6022/10,"ע""פ 6022/10",
"ע""פ",972/11,"ע""פ 972/11",
"ע""פ",105/14,"ע""פ 105/14",
"ת""פ",57618-05-17,"ת""פ 57618-05-17","ע""פ 907/14,ע""פ 4311/12,ע""פ 3491/13,ת""פ 04-06-15,ע""פ 3210/06,ע""פ 7887/12,ת""פ 22-06-14,ע""פ 1846/13"
"ת""פ",26087-05-16,"ת""פ 26087-05-16",
"ע""פ",8280/15,"ע""פ 8280/15",
"ת""פ",17856-06-17,"ת""פ 17856-06-17","ע""פ 4135/16,ע""פ 4945/13,ע""פ 6347/17,ע""פ 761/07,ע""פ 2892/13,ע""פ 6989/13,ע""פ 7124/16,ת""פ 24364-10-16"
"ע""פ",4910/16,"ע""פ 4910/16",
"ע""פ",9205/02,"ע""פ 9205/02",
"ע""פ",5147/13,"ע""פ 5147/13",
"ע""פ",8133/15,"ע""פ 8133/15",
"ת""פ",40313-09-15,"ת""פ 40313-09-15","ע""פ 9702/16,ע""פ 2892/13,ע""פ 3156/11,ע""פ 135/17,ע""פ 4329/10,ע""פ 1323/13,ע""פ 8133/15"
"ע""פ",7268/01,"ע""פ 7268/01",
"ע""פ",6341/14,"ע""פ 6341/14",
"ע""פ",5604/11,"ע""פ 5604/11",
"ת""פ",48435-02-17,"ת""פ 48435-02-17","ע""פ 3511/17,ע""פ 3981/14,ע""פ 5469/13,ע""פ 3657/16"
"ע""פ",1958/98,"ע""פ 1958/98",
"ע""פ",8469/99,"ע""פ 8469/99",
"ע""פ",8547/15,"ע""פ 8547/15",
"ע""פ",5300/16,"ע""פ 5300/16",
"ת""פ",54132-06-15,"ת""פ 54132-06-15",
"ע""פ",895/09,"ע""פ 895/09",
"ת""פ",16420-10-16,"ת""פ 16420-10-16","ע""פ 6459/17,ע""פ 6101/16,ע""פ 1186/15,ע""פ 4375/02,ת""פ 33577-04-12,ע""פ 8721/14,ע""פ 4697/11"
"ת""פ",22-06-14,"ת""פ 22-06-14",
"ת""פ",30145-12-11,"ת""פ 30145-12-11",
"ע""פ",318/11,"ע""פ 318/11",
"ע""פ",116/13,"ע""פ 116/13",
"ע""פ",6671/06,"ע""פ 6671/06",
"ת""פ",40107-01-18,"ת""פ 40107-01-18",
"ת""פ",28615-08-17,"ת""פ 28615-08-17",
"ע""פ",1803/07,"ע""פ 1803/07",
"ע""פ",6928/17,"ע""פ 6928/17",
"ע""פ",2265/18,"ע""פ 2265/18",
"ע""פ",2839/05,"ע""פ 2839/05",
"ע""פ",526/14,"ע""פ 526/14",
"ע""פ",6467/12,"ע""פ 6467/12",
"ע""פ",2406/16,"ע""פ 2406/16",
"ת""פ",32889-12-17,"ת""פ 32889-12-17","ע""פ 4956/13,ע""פ 9205/02,ע""פ 5833/07,ע""פ 4910/16,ע""פ 512/13,ע""פ 8450/16,ע""פ 752/90,ע""פ 6799/14,ע""פ 3856/13,ע""פ 5549/09,ע""פ 5318/03,ת""פ 59422-07-14,ע""פ 1121/11,ע""פ 1235/09,ע""פ 9112/11,ע""פ 2524/15"
"ע""פ",1235/09,"ע""פ 1235/09",
"ת""פ",59812-02-16,"ת""פ 59812-02-16","ע""פ 4795/11,ע""פ 4945/13,ע""פ 1768/14,ע""פ 7552/14,ע""פ 5354/12,ת""פ 8761-01-14,ע""פ 319/11,ע""פ 8280/15,ע""פ 911/14,ע""פ 779/15,ע""פ 526/14,ע""פ 135/17,ת""פ 7498-11-14,ע""פ 4876/15,ע""פ 1323/13,ע""פ 2422/14,ע""פ 7317/13,ע""פ 262/14"
"ע""פ",4125/14,"ע""פ 4125/14",
"ע""פ",8373/11,"ע""פ 8373/11",
"ע""פ",649/15,"ע""פ 649/15",
"ת""פ",7622-01-18,"ת""פ 7622-01-18",
"ע""פ",1764/14,"ע""פ 1764/14",
"ע""פ",2460/15,"ע""פ 2460/15",
"ע""פ",2648/92,"ע""פ 2648/92",
"ע""פ",4077/17,"ע""פ 4077/17",
"ע""פ",3856/13,"ע""פ 3856/13",
"ע""פ",1414/15,"ע""פ 1414/15",
"ע""פ",2186/13,"ע""פ 2186/13",
"ע""פ",611/17,"ע""פ 611/17",
"ע""פ",3846/10,"ע""פ 3846/10",
"ע""פ",1462/12,"ע""פ 1462/12",
"ת""פ",52479-01-18,"ת""פ 52479-01-18","ע""פ 5220/09,ע""פ 4945/13,ע""פ 3183/16,ע""פ 6341/14,ע""פ 27/17,ע""פ 4472/16,ע""פ 6560/15,ע""פ 2032/15,ע""פ 8416/09,ע""פ 761/07,ע""פ 3361/08,ע""פ 1323/13,ע""פ 1332/04,ע""פ 4154/16,ע""פ 3300/06"
"ע""פ",6001/13,"ע""פ 6001/13",
"ע""פ",2892/13,"ע""פ 2892/13",
"ע""פ",5794/15,"ע""פ 5794/15",
"ת""פ",31498-01-16,"ת""פ 31498-01-16",
